,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Krasnoperekopsk,16829,25039,764,23912,363,24275,16,34
Saky,16896,24444,462,23815,167,23982,16,20
Armyansk,14851,21499,166,21280,53,21333,14,7
Sudak,11642,16763,29,16711,23,16734,11,1
Belogorsk,11399,16295,10,16271,14,16285,11,0
Shcholkine,7105,10201,0,10191,10,10201,7,0
Staryi Krym,6476,9237,0,9224,13,9237,6,0
Alupka,5518,7789,0,7396,393,7789,5,0

,Week 15
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,218394,339683,39226,290273,10184,300457,218,1646
Kerch,96666,149807,15600,129270,4937,134207,96,678
Yevpatoria,64152,105442,9958,91172,4312,95484,64,432
Yalta,34196,77462,11062,60356,6044,66400,34,471
Feodosia,36677,66886,6576,56991,3319,60310,36,263
Dzhankoy,21796,37922,4134,32309,1479,33788,21,167
Alushta,17733,29641,3761,24800,1080,25880,17,155
Bakhchysarai,16914,26277,2087,23293,897,24190,16,87
Krasnoperekopsk,17262,24969,1391,22941,637,23578,17,68
Saky,17616,24332,862,23055,415,23470,17,32
Armyansk,15737,21418,413,20848,157,21005,15,22
Sudak,12438,16658,123,16478,57,16535,12,7
Belogorsk,12191,16225,58,16141,26,16167,12,1
Shcholkine,7608,10168,13,10139,16,10155,7,0
Staryi Krym,6932,9229,3,9211,15,9226,6,0
Alupka,5903,7822,2,7303,517,7820,5,0

,Week 16
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,193996,336757,67238,248216,21303,269519,194,2822
Kerch,87689,148777,24708,113989,10080,124069,87,1043
Yevpatoria,58910,104815,14737,82499,7579,90078,58,591
Yalta,26428,76940,14596,53013,9331,62344,26,616
Feodosia,33083,66517,7490,53779,5248,59027,33,312
Dzhankoy,19332,37704,5065,29938,2701,32639,19,197
Alushta,15251,29466,5243,22286,1937,24223,15,200
Bakhchysarai,16021,26211,2901,21883,1427,23310,16,112
Krasnoperekopsk,17033,24829,2163,21618,1048,22666,17,96
Saky,17910,24217,1440,22020,757,22777,17,65
Armyansk,16358,21444,807,20249,388,20637,16,31
Sudak,13129,16637,301,16192,144,16336,13,14
Belogorsk,12930,16178,162,15951,65,16016,12,6
Shcholkine,8095,10188,56,10112,20,10132,8,1
Staryi Krym,7383,9213,18,9178,17,9195,7,0
Alupka,6286,7811,8,7116,687,7803,6,0

,Week 17
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,140094,332677,93523,197599,41555,239154,140,3904
Kerch,69115,147337,33637,94629,19071,113700,69,1344
Yevpatoria,48629,104179,20061,71439,12679,84118,48,783
Yalta,14936,76051,19219,43122,13710,56832,14,833
Feodosia,28516,66044,8425,49701,7918,57619,28,350
Dzhankoy,15884,37545,5561,27785,4199,31984,15,252
Alushta,11208,29245,6093,19870,3282,23152,11,297
Bakhchysarai,14271,26159,3611,20375,2173,22548,14,129
